Episode,Reward,Epsilon,Loss,Steps,Batch Size
1260,2.0,0.5322416424883619,0.042353485,54,128
1280,4.0,0.526944431857975,0.054608908,72,128
1300,1.0,0.5216999424696379,0.040073846,42,128
1320,3.0,0.5165076496076924,0.06582241,66,128
1340,6.0,0.5113670337787873,0.06551426,89,128
1360,5.0,0.506277580659903,0.044805996,77,128
1380,5.0,0.5012387810468929,0.062232222,119,16
1400,7.0,0.4962501308035369,0.08713094,144,128
1420,2.0,0.49131113081110217,0.07824868,57,128
1440,7.0,0.4864212869184065,0.06671492,106,128
1460,8.0,0.4815801098923773,0.06157565,131,32
1480,2.0,0.47678711536910373,0.055084564,57,16
1500,1.0,0.47204182380537574,0.038431305,48,32
1520,5.0,0.4673437604307052,0.051709685,77,16
1540,4.0,0.46269245519982455,0.05821312,70,64
1560,5.0,0.45808744274565905,0.053978406,101,16
1580,3.0,0.4535282623327658,0.04689737,58,128
1600,6.0,0.4490144578112366,0.061414406,98,128
1620,7.0,0.44454557757106034,0.05102446,103,16
1640,2.0,0.4401211744969389,0.040114142,53,32
1660,3.0,0.43574080592355235,0.042511538,72,128
1680,7.0,0.4314040335912707,0.042262353,104,16
1695,12.0,0.4281798031958776,0.03467383,132,32
1697,14.0,0.42775173043763254,0.044026557,137,16
1700,3.0,0.427110423602305,0.036119174,61,128
1720,5.0,0.4228595463772959,0.044343725,86,128
1740,8.0,0.41865097661233347,0.052735526,106,128
1760,3.0,0.4144842932364056,0.03408596,68,128
1780,9.0,0.4103590793692694,0.043246794,124,128
1800,4.0,0.40627492227974177,0.051848255,74,128
1820,4.0,0.4022314133444051,0.051057793,75,128
1840,4.0,0.3982281480067251,0.047746178,70,64
1860,6.0,0.39426472573657323,0.06467433,88,16
1880,3.0,0.3903407499901545,0.052233998,70,128
1900,6.0,0.3864558281703322,0.051418778,89,16
1909,15.0,0.384720250991275,0.069616035,170,128
1920,2.0,0.38260957158734843,0.054685093,51,32
1940,6.0,0.3788015954199355,0.045152646,85,128
1960,5.0,0.3750315186768142,0.05059344,82,128
1980,1.0,0.37129896415857505,0.047634322,45,32
2000,6.0,0.36760355841993914,0.048101604,88,128
2020,6.0,0.36394493173239506,0.08203142,92,128
2040,7.0,0.36032271804720695,0.040798828,100,64
2060,4.0,0.356736554958791,0.05898331,70,64
2080,6.0,0.3531860836684566,0.043381147,90,16
2100,8.0,0.349670948948508,0.04355296,164,128
2120,5.0,0.3461907991067037,0.060373254,89,64
2140,5.0,0.3427452859510691,0.03697111,85,16
2160,7.0,0.33933406475506,0.056685664,103,64
2180,6.0,0.3359567942230718,0.05278534,100,128
2200,7.0,0.3326131364562932,0.041238185,101,128
2220,3.0,0.3293027569188988,0.058392942,65,128
2240,5.0,0.3260253244045785,0.050032187,80,128
2260,3.0,0.3227805110034003,0.07181641,67,128
2280,5.0,0.31956799206900227,0.053520977,90,16
2300,6.0,0.31638744618611153,0.05310844,141,128
2320,4.0,0.3132385551383865,0.05809055,69,128
2340,6.0,0.3101210038765789,0.04814508,85,16
2345,19.0,0.3093464762818429,0.065954454,219,64
2360,4.0,0.3070344804870131,0.06769624,101,128
2380,2.0,0.3039786761603784,0.049249776,55,128
2400,7.0,0.30095328516083264,0.062125828,99,128
2420,7.0,0.29795800479541346,0.062035408,136,128
2440,0.0,0.29499253538375303,0.0713197,32,16
2460,4.0,0.292056580228095,0.06770579,81,64
2480,10.0,0.2891498455836096,0.064370155,134,128
2500,2.0,0.2862720406290043,0.078425094,60,128
2520,2.0,0.28342287743742695,0.09342729,46,16
2540,8.0,0.2806020709476581,0.07361962,121,128
2560,2.0,0.2778093389355908,0.085806735,51,128
2580,11.0,0.2750444019859935,0.05063005,170,16
2600,10.0,0.2723069834645546,0.07188817,129,128
2620,1.0,0.269596809490205,0.07182367,39,128
2640,9.0,0.26691360890771537,0.07664895,129,128
2660,4.0,0.26425711326056794,0.087028295,74,128
2680,8.0,0.26162705676409614,0.08491628,100,128
2700,5.0,0.25902317627889354,0.086426266,106,128
2720,0.0,0.2564452112844856,0.09062782,31,128
2740,4.0,0.2538929038532652,0.078280814,68,64
2760,10.0,0.2513659986246861,0.08728733,175,128
2780,5.0,0.24886424277971447,0.0941849,97,128
2800,4.0,0.24638738601553387,0.0831907,76,128
2820,1.0,0.24393518052050198,0.059357345,44,128
2840,2.0,0.24150738094935736,0.059101913,52,64
2860,5.0,0.23910374439867194,0.087104335,79,16
2880,6.0,0.2367240303825487,0.11197329,110,128
2900,9.0,0.23436800080856074,0.06863998,110,64
2920,6.0,0.2320354199539298,0.1054155,91,128
2940,11.0,0.22972605444194213,0.08229482,115,32
2960,0.0,0.227439673218599,0.11069691,36,16
2980,5.0,0.22517604752949924,0.096973464,120,16
3000,4.0,0.22293495089695248,0.11613214,83,16
3020,4.0,0.22071615909731984,0.12615815,73,16
3040,3.0,0.21851945013858012,0.112907365,68,128
3060,2.0,0.21634460423811916,0.10036883,52,16
3080,11.0,0.2141914038007406,0.090343446,145,16
3100,1.0,0.21205963339689513,0.08288872,38,128
3120,0.0,0.20994907974112673,0.07300492,31,128
3140,0.0,0.20785953167073312,0.11612882,32,16
3160,0.0,0.20579078012463903,0.06320537,35,128
3180,0.0,0.20374261812247907,0.10700134,31,128
3200,8.0,0.20171484074388943,0.1198168,118,128
3220,6.0,0.1997072451080055,0.12064466,88,128
3240,0.0,0.19771963035316312,0.09989554,35,32
3260,3.0,0.19575179761680242,0.1156688,59,16
3280,4.0,0.1938035500155716,0.12110774,67,64
3300,1.0,0.19187469262562828,0.06180211,38,16
3320,13.0,0.18996503246313748,0.10410655,139,128
3340,8.0,0.18807437846496305,0.10895343,166,16
3360,5.0,0.18620254146955204,0.09287944,77,128
3380,5.0,0.18434933419800867,0.10408288,86,16
3386,21.0,0.1837969770447174,0.088524155,176,32
3400,3.0,0.1825145712353572,0.09658254,66,64
3420,9.0,0.1806980690119905,0.09293063,138,128
3440,11.0,0.17889964578530423,0.08340486,111,32
3460,2.0,0.17711912162151316,0.06650908,55,32
3480,5.0,0.17535631837764862,0.100997545,88,128
3500,9.0,0.1736110596837351,0.10076532,124,16
3520,6.0,0.17188317092514446,0.08353659,84,128
3540,8.0,0.17017247922512546,0.08556801,105,128
3560,8.0,0.16847881342750726,0.10408088,144,128
3580,7.0,0.1668020040795752,0.07931961,103,64
3584,24.0,0.16646865019103163,0.081144966,198,64
3600,7.0,0.16514188341511685,0.12928988,131,16
3620,0.0,0.1634982853376368,0.09460667,31,128
3640,8.0,0.16187104540373864,0.08950877,158,128
3660,0.0,0.16026000080667238,0.07141139,32,64
3680,2.0,0.15866499036004522,0.07020781,46,128
3700,5.0,0.15708585448169488,0.080716416,78,128
3720,8.0,0.15552243517772324,0.08614888,162,64
3740,6.0,0.15397457602668896,0.07153277,84,16
3760,6.0,0.15244212216395728,0.10574455,159,128
3780,3.0,0.15092492026620585,0.082326226,63,16
3800,11.0,0.14942281853608433,0.090016834,146,128
3820,8.0,0.1479356666870272,0.09068602,101,128
3840,12.0,0.14646331592821749,0.07175336,176,128
3860,7.0,0.14500561894969952,0.06519414,93,16
3880,11.0,0.14356242990764143,0.07171834,142,128
3900,8.0,0.14213360440974254,0.073944226,109,16
3920,8.0,0.14071899950078715,0.057622675,102,32
3940,1.0,0.1393184736483417,0.06713417,43,128
3960,12.0,0.13793188672859416,0.0751774,138,128
3980,8.0,0.13655910001233484,0.07879013,124,128
4000,5.0,0.1351999761510762,0.058921047,80,16
4020,4.0,0.13385437916331103,0.06514682,75,64
4040,4.0,0.13252217442090733,0.06560303,69,16
4060,6.0,0.13120322863563882,0.057503954,87,32
4080,1.0,0.12989740984584922,0.05678507,38,16
4100,9.0,0.12860458740324937,0.057363197,177,128
4120,0.0,0.12732463195984584,0.059776884,31,128
4140,0.0,0.12605741545499943,0.059785347,31,16
4160,8.0,0.1248028111026128,0.069435365,105,128
4180,7.0,0.12356069337844508,0.098724194,96,128
4200,7.0,0.12233093800755339,0.075682625,113,128
4220,13.0,0.12111342195185881,0.06612688,120,16
4240,6.0,0.1199080233978365,0.059267625,92,64
4260,6.0,0.11871462174432797,0.067886695,134,32
4280,2.0,0.11753309759047491,0.05141995,54,128
4300,13.0,0.11636333272377304,0.064752676,119,128
4320,12.0,0.11520521010824485,0.058841545,117,128
4340,15.0,0.11405861387273004,0.068774864,146,128
4360,7.0,0.11292342929929253,0.064843066,100,128
4380,0.0,0.11179954281174273,0.059755348,31,128
4400,7.0,0.11068684196427431,0.047318347,93,16
4420,14.0,0.1095852154302138,0.07177614,127,16
4440,6.0,0.10849455299088225,0.052599978,99,128
4460,0.0,0.10741474552456781,0.056503367,31,128
4480,6.0,0.10634568499560795,0.057814866,131,128
4500,8.0,0.10528726444358047,0.07804315,114,128
4520,6.0,0.10423937797260206,0.07684464,121,128
4540,0.0,0.10320192074073303,0.10549449,31,128
4560,0.0,0.10217478894948816,0.056864038,31,128
4580,13.0,0.10115787983345143,0.06916527,177,128
4600,0.0,0.10015109164999415,0.059459068,31,16
4620,8.0,0.09915432366909567,0.056956396,157,32
4640,5.0,0.09816747616326515,0.07025061,89,16
4660,6.0,0.09719045039756383,0.06015978,92,32
4680,4.0,0.09622314861972649,0.06122821,72,32
4700,0.0,0.09526547405038113,0.06281573,31,16
4720,7.0,0.09431733087336629,0.08489361,98,128
4740,6.0,0.09337862422614437,0.060828805,150,128
4760,10.0,0.09244926019031086,0.07342618,116,16
4780,0.0,0.09152914578219735,0.06503866,31,128
4800,8.0,0.09061818894356875,0.06369816,97,128
4820,0.0,0.08971629853241253,0.091930024,33,16
4840,4.0,0.08882338431382006,0.07114458,70,128
4860,8.0,0.08793935695095845,0.07671016,108,64
4880,13.0,0.08706412799613236,0.077983595,198,128
4900,14.0,0.08619760988193471,0.064246394,162,128
4920,15.0,0.08533971591248544,0.065988615,151,128
4940,14.0,0.08449036025475762,0.0790698,225,16
4960,8.0,0.08364945792998978,0.07396605,382,64
4980,13.0,0.08281692480518352,0.065211356,160,16
