state,action,q_value
708,1,0.0
708,2,0.0
708,3,0.0
2152,0,19.013233435395765
2152,1,0.0
2152,2,0.0
2152,3,0.0
913,0,-70.0
913,1,-70.0
913,2,0.0
913,3,0.0
2264,0,-70.0
2264,1,0.0
2264,2,0.0
2264,3,0.0
1220,0,-70.0
1220,1,0.0
1220,2,0.0
1220,3,0.0
1572,0,3.6717673364943324
1572,1,0.0
1572,2,0.0
1572,3,0.0
856,0,21.346897328746383
856,1,0.0
856,2,0.0
856,3,0.0
817,0,23.29057722914685
817,1,0.0
817,2,0.0
817,3,0.0
2322,0,19.6819491948194
2322,1,0.0
2322,2,0.0
2322,3,0.0
562,0,-70.0
562,1,0.0
562,2,0.0
562,3,0.0
2386,0,10.338252291192973
2386,1,0.0
2386,2,0.0
2386,3,0.0
673,0,-70.0
673,1,-0.7
673,2,0.0
673,3,0.0
40,0,5.424855988740345
40,1,0.0
40,2,0.0
40,3,0.0
1697,0,-70.0
1697,1,0.0
1697,2,0.0
1697,3,0.0
8,0,13.32501385717278
8,1,0.0
8,2,0.0
8,3,0.0
274,0,7.603268295142247
274,1,0.0
274,2,0.0
274,3,0.0
2354,0,1.0986461714436813
2354,1,0.0
2354,2,0.0
2354,3,0.0
3217,0,-70.0
3217,1,0.0
3217,2,0.0
3217,3,0.0
401,0,-70.0
401,1,0.0
401,2,0.0
401,3,0.0
2481,0,-70.0
2481,1,0.0
2481,2,0.0
2481,3,0.0
